cohort_month,cohort_index,retained_customers
2020-01-01,0,241
2020-01-01,1,6
2020-01-01,2,2
2020-01-01,3,7
2020-01-01,4,8
2020-01-01,5,7
2020-01-01,6,9
2020-01-01,7,8
2020-01-01,8,4
2020-01-01,9,9
2020-01-01,10,5
2020-01-01,11,4
2020-01-01,12,12
2020-01-01,13,9
2020-01-01,14,2
2020-01-01,15,4
2020-01-01,16,9
2020-01-01,17,7
2020-01-01,18,5
2020-01-01,19,5
2020-01-01,20,6
2020-01-01,21,13
2020-01-01,22,3
2020-01-01,23,7
2020-01-01,24,8
2020-01-01,25,8
2020-01-01,26,6
2020-01-01,27,8
2020-01-01,28,6
2020-01-01,29,6
2020-01-01,30,2
2020-01-01,31,9
2020-01-01,32,4
2020-01-01,33,8
2020-01-01,34,5
2020-01-01,35,4
2020-01-01,36,8
2020-01-01,37,11
2020-01-01,38,5
2020-01-01,39,3
2020-01-01,40,10
2020-01-01,41,4
2020-01-01,42,7
2020-01-01,43,6
2020-01-01,44,6
2020-01-01,45,5
2020-01-01,46,6
2020-01-01,47,5
2020-01-01,48,4
2020-01-01,49,4
2020-01-01,50,7
2020-01-01,51,6
2020-01-01,52,6
2020-01-01,53,5
2020-01-01,54,11
2020-01-01,55,4
2020-01-01,56,3
2020-01-01,57,4
2020-01-01,58,3
2020-01-01,59,4
2020-01-01,60,6
2020-01-01,61,4
2020-01-01,62,4
2020-01-01,63,6
2020-02-01,0,228
2020-02-01,1,4
2020-02-01,2,8
2020-02-01,3,6
2020-02-01,4,6
2020-02-01,5,5
2020-02-01,6,5
2020-02-01,7,11
2020-02-01,8,10
2020-02-01,9,3
2020-02-01,10,5
2020-02-01,11,7
2020-02-01,12,6
2020-02-01,13,6
2020-02-01,14,6
2020-02-01,15,2
2020-02-01,16,5
2020-02-01,17,6
2020-02-01,18,5
2020-02-01,19,3
2020-02-01,20,8
2020-02-01,21,5
2020-02-01,22,4
2020-02-01,23,4
2020-02-01,24,6
2020-02-01,25,6
2020-02-01,26,3
2020-02-01,27,6
2020-02-01,28,10
2020-02-01,29,7
2020-02-01,30,9
2020-02-01,31,8
2020-02-01,32,6
2020-02-01,33,6
2020-02-01,34,4
2020-02-01,35,7
2020-02-01,36,3
2020-02-01,37,6
2020-02-01,38,6
2020-02-01,39,7
2020-02-01,40,2
2020-02-01,41,8
2020-02-01,42,5
2020-02-01,43,6
2020-02-01,44,4
2020-02-01,45,8
2020-02-01,46,3
2020-02-01,47,7
2020-02-01,48,4
2020-02-01,49,2
2020-02-01,50,8
2020-02-01,51,4
2020-02-01,52,9
2020-02-01,53,3
2020-02-01,54,4
2020-02-01,55,7
2020-02-01,56,11
2020-02-01,57,8
2020-02-01,58,6
2020-02-01,59,4
2020-02-01,60,5
2020-02-01,61,7
2020-02-01,62,9
2020-03-01,0,207
2020-03-01,2,5
2020-03-01,3,7
2020-03-01,4,8
2020-03-01,5,2
2020-03-01,6,5
2020-03-01,7,9
2020-03-01,8,7
2020-03-01,9,5
2020-03-01,10,6
2020-03-01,11,3
2020-03-01,12,7
2020-03-01,13,5
2020-03-01,14,5
2020-03-01,15,5
2020-03-01,16,10
2020-03-01,17,5
2020-03-01,18,10
2020-03-01,19,3
2020-03-01,20,5
2020-03-01,21,9
2020-03-01,22,5
2020-03-01,23,1
2020-03-01,24,4
2020-03-01,25,2
2020-03-01,26,2
2020-03-01,27,5
2020-03-01,28,6
2020-03-01,29,7
2020-03-01,30,4
2020-03-01,31,3
2020-03-01,32,2
2020-03-01,33,8
2020-03-01,34,7
2020-03-01,35,7
2020-03-01,36,6
2020-03-01,37,5
2020-03-01,38,8
2020-03-01,39,5
2020-03-01,40,7
2020-03-01,41,5
2020-03-01,42,5
2020-03-01,43,7
2020-03-01,44,4
2020-03-01,45,4
2020-03-01,46,3
2020-03-01,47,4
2020-03-01,48,11
2020-03-01,49,5
2020-03-01,50,3
2020-03-01,51,1
2020-03-01,52,4
2020-03-01,53,5
2020-03-01,54,6
2020-03-01,55,4
2020-03-01,56,5
2020-03-01,57,4
2020-03-01,58,5
2020-03-01,59,8
2020-03-01,60,2
2020-03-01,61,6
2020-04-01,0,200
2020-04-01,1,2
2020-04-01,2,7
2020-04-01,3,10
2020-04-01,4,5
2020-04-01,5,2
2020-04-01,6,5
2020-04-01,7,6
2020-04-01,8,9
2020-04-01,9,3
2020-04-01,10,8
2020-04-01,11,3
2020-04-01,12,5
2020-04-01,13,7
2020-04-01,14,8
2020-04-01,15,5
2020-04-01,16,4
2020-04-01,17,3
2020-04-01,18,5
2020-04-01,19,7
2020-04-01,20,5
2020-04-01,21,4
2020-04-01,22,6
2020-04-01,23,7
2020-04-01,24,2
2020-04-01,25,4
2020-04-01,26,7
2020-04-01,27,3
2020-04-01,28,5
2020-04-01,29,3
2020-04-01,30,2
2020-04-01,31,4
2020-04-01,32,5
2020-04-01,33,2
2020-04-01,34,3
2020-04-01,35,6
2020-04-01,36,2
2020-04-01,37,2
2020-04-01,38,6
2020-04-01,39,3
2020-04-01,40,2
2020-04-01,41,6
2020-04-01,42,6
2020-04-01,43,4
2020-04-01,44,13
2020-04-01,45,7
2020-04-01,46,7
