customer_id,order_month,cohort_month
2824,2023-05-01,2021-03-01
5012,2022-05-01,2022-05-01
2679,2023-11-01,2021-10-01
2424,2021-11-01,2021-05-01
1488,2021-03-01,2021-03-01
9279,2023-12-01,2021-09-01
4257,2025-03-01,2022-07-01
9928,2021-05-01,2021-05-01
5557,2023-03-01,2021-11-01
3615,2022-07-01,2021-08-01
5552,2022-12-01,2020-10-01
2674,2023-01-01,2021-12-01
6881,2021-01-01,2020-08-01
5333,2024-10-01,2020-08-01
8527,2023-12-01,2020-02-01
2291,2022-03-01,2022-03-01
6925,2022-11-01,2020-08-01
2139,2024-05-01,2021-02-01
5741,2021-05-01,2021-05-01
2654,2020-11-01,2020-11-01
6977,2024-10-01,2024-03-01
4432,2024-09-01,2020-02-01
2169,2023-07-01,2020-03-01
9751,2022-04-01,2020-07-01
8573,2023-08-01,2023-08-01
4598,2024-11-01,2020-02-01
4752,2025-01-01,2025-01-01
7572,2022-05-01,2022-05-01
6155,2024-07-01,2024-07-01
7482,2020-04-01,2020-04-01
8517,2023-12-01,2022-04-01
5040,2023-10-01,2023-10-01
5304,2022-11-01,2022-11-01
7543,2025-03-01,2020-10-01
9348,2021-06-01,2021-06-01
2796,2020-02-01,2020-02-01
7916,2020-11-01,2020-11-01
7252,2021-04-01,2021-04-01
9669,2025-02-01,2020-07-01
1188,2021-06-01,2021-06-01
9797,2022-10-01,2022-10-01
6573,2021-03-01,2021-03-01
3591,2021-09-01,2021-09-01
5315,2020-01-01,2020-01-01
9317,2020-08-01,2020-06-01
5889,2021-08-01,2021-08-01
4258,2022-03-01,2022-03-01
9837,2024-05-01,2021-11-01
1009,2022-05-01,2021-09-01
1319,2020-12-01,2020-12-01
6038,2025-03-01,2022-05-01
2290,2022-12-01,2021-12-01
2133,2022-12-01,2020-03-01
3060,2021-01-01,2021-01-01
3705,2021-11-01,2021-11-01
7932,2020-09-01,2020-02-01
4295,2025-02-01,2025-02-01
7118,2020-06-01,2020-06-01
8397,2021-12-01,2020-07-01
2049,2023-07-01,2021-05-01
4770,2025-02-01,2021-08-01
2163,2023-12-01,2021-02-01
4750,2020-06-01,2020-06-01
6413,2024-07-01,2024-07-01
5562,2021-03-01,2021-03-01
9834,2020-09-01,2020-09-01
8744,2021-12-01,2021-12-01
7669,2023-06-01,2023-01-01
8062,2021-09-01,2021-09-01
8651,2020-01-01,2020-01-01
2612,2021-03-01,2021-03-01
6559,2023-02-01,2023-02-01
5073,2022-02-01,2020-07-01
8350,2025-02-01,2021-05-01
5563,2021-11-01,2021-05-01
8260,2024-11-01,2021-05-01
2604,2021-08-01,2021-08-01
1241,2024-01-01,2024-01-01
3724,2021-09-01,2021-09-01
4502,2023-10-01,2020-08-01
3697,2022-02-01,2020-09-01
5345,2020-10-01,2020-10-01
5673,2025-04-01,2021-12-01
8973,2024-08-01,2024-01-01
4566,2020-12-01,2020-05-01
9883,2020-07-01,2020-07-01
1936,2023-07-01,2022-04-01
9238,2021-03-01,2021-03-01
3579,2024-06-01,2020-07-01
2312,2021-04-01,2020-08-01
